key,title,achievements,effort,kind,key:campaign7890o

#TITLE (Validaciones: vacío o demasiado largo)
milestone-02,"","The achievements text goes here.",20.0,ALTRUIST,campaign-01
milestone-03,"This title is way too long because it exceeds the maximum number of characters allowed for a header in this framework which is usually around seventy five!","Achievements text",15.0,ALTRUIST,campaign-01

#ACHIEVEMENTS (Validaciones: vacío o demasiado largo)
milestone-04,"Valid Title","",30.0,ALTRUIST,campaign-01
milestone-05,"Valid Title","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",25.0,ALTRUIST,campaign-01

#EFFORT (Validaciones: vacío, negativo o demasiado alto)
milestone-06,"Valid Title","Achievements text",,ALTRUIST,campaign-01
milestone-07,"Valid Title","Achievements text",-0.01,ALTRUIST,campaign-01
milestone-08,"Valid Title","Achievements text",1000000.01,ALTRUIST,campaign-01

#KIND (Validación de tipo/enum)
milestone-09,"Valid Title","Achievements text",10.0,,campaign-01
