key,name,notes,money,kind,key:sponsorship
#base - entity
donation-01,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
#name - standar
donation-02,ALTRUIST,L,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
donation-03,ALTRUIST,Lo,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
donation-04,ALTRUIST,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
donation-05,ALTRUIST,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
donation-06,ALTRUIST,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
donation-07,ALTRUIST,لوريم إيبسوم,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
donation-08,ALTRUIST,洛伦·伊普森,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
donation-09,ALTRUIST,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
donation-10,ALTRUIST,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
donation-11,ALTRUIST,' or 'A' = 'A,"Lorem ipsum dolor sit amet,consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,sponsorship-32
#notes - standar
donation-12,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu",L,EUR 500000.00,sponsorship-32
donation-13,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu",Lo,EUR 500000.00,sponsorship-32
donation-14,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",EUR 500000.00,sponsorship-32
donation-15,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",EUR 500000.00,sponsorship-32
donation-16,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu",โลเร็ม อิปซัม,EUR 500000.00,sponsorship-32
donation-17,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu",لوريم إيبسوم,EUR 500000.00,sponsorship-32
donation-18,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu",洛伦·伊普森,EUR 500000.00,sponsorship-32
donation-19,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,EUR 500000.00,sponsorship-32
donation-20,ALTRUIST,"Lorem ipsum dolor sit amet, consectetu",<script>alert(‘Hacked!’);</script>,EUR 500000.00,sponsorship-32
