key,bank,statement,agent,key:userAccount
#base - entity
fundraiser-01,Bank Name,"Statement text",TRUE,user-account-fundraiser-01
#bank - standard
fundraiser-02,"B","Statement text",TRUE,user-account-fundraiser-02
fundraiser-03,"Ba","Statement text",TRUE,user-account-fundraiser-03
fundraiser-04,"Bank Name with more text to reach the seventy five character maximum length","Statement text",TRUE,user-account-fundraiser-04
fundraiser-05,"Bank Name with unicode characters โลเร็ม อิปซัม","Statement text",TRUE,user-account-fundraiser-05
fundraiser-06,"Bank Name with unicode characters لوريم إيبسوم","Statement text",TRUE,user-account-fundraiser-06
fundraiser-07,"Bank Name with unicode characters 洛伦·伊普森","Statement text",TRUE,user-account-fundraiser-07
fundraiser-08,<marquee>Hacked Bank</marquee>,"Statement text",TRUE,user-account-fundraiser-08
fundraiser-09,<script>alert('Hacked!');</script>,"Statement text",TRUE,user-account-fundraiser-09
fundraiser-10,' or 'A' = 'A,"Statement text",TRUE,user-account-fundraiser-10
#statement - standard
fundraiser-11,Bank Name,"S",TRUE,user-account-fundraiser-11
fundraiser-12,Bank Name,"St",TRUE,user-account-fundraiser-12
fundraiser-13,Bank Name,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",TRUE,user-account-fundraiser-13
fundraiser-14,Bank Name,"Statement text with unicode โลเร็ม อิปซัม",TRUE,user-account-fundraiser-14
fundraiser-15,Bank Name,"Statement text with unicode لوريم إيبسوم",TRUE,user-account-fundraiser-15
fundraiser-16,Bank Name,"Statement text with unicode 洛伦·伊普森",TRUE,user-account-fundraiser-16
fundraiser-17,Bank Name,<marquee>Hacked Statement</marquee>,TRUE,user-account-fundraiser-17
fundraiser-18,Bank Name,<script>alert('Hacked!');</script>,TRUE,user-account-fundraiser-18
fundraiser-19,Bank Name,' or 'A' = 'A,TRUE,user-account-fundraiser-19
#agent - standard
fundraiser-20,Bank Name,"Statement text",FALSE,user-account-fundraiser-20
#key:userAccount - standard
fundraiser-21,Bank Name,"Statement text",TRUE,user-account-fundraiser-21
fundraiser-22,Bank Name,"Statement text",TRUE,user-account-fundraiser-22
fundraiser-23,Bank Name,"Statement text",TRUE,user-account-fundraiser-23
